id,escola_posto,tipo,logradouro,numero,bairro,subprefeitura,quantidade,latitude,longitude
413,EM COCIO BARCELOS,EM,RUA BARAO DE IPANEMA,34,COPACABANA,ZONA SUL,311,-22.97483,-43.18906
558,EM CICERO PENA,EM,AVENIDA ATLANTICA,1976,COPACABANA,ZONA SUL,573,-22.96865,-43.18114
309,EM MEXICO,EM,RUA DA MATRIZ,67,BOTAFOGO,ZONA SUL,319,-22.95271,-43.19176
523,EM PRESIDENTE DA COSTA E SILVA,EM,RUA ASSUNCAO,257,BOTAFOGO,ZONA SUL,111,-22.94556,-43.18659
450,EM ALBERTO BARTH,EM,AVENIDA OSWALDO CRUZ,124,FLAMENGO,ZONA SUL,420,-22.94071,-43.17647
035,EM SENADOR CORREA,EM,RUA SENADOR CORREA,S/N,LARANJEIRAS,ZONA SUL,525,-22.93399,-43.18101
331,CIEP TANCREDO NEVES,CIEP,RUA DO CATETE,77,CATETE,ZONA SUL,223,-22.92278,-43.17668
483,EM CELESTINO SILVA,EM,RUA DO LAVRADIO,56,CENTRO,CENTRO,220,-22.90929,-43.18358
055,EM SANTA CATARINA,EM,RUA EDUARDO SANTOS,38,SANTA TERESA,CENTRO,92,-22.91554,-43.19159
490,EM TIA CIATA,EM,AVENIDA PRESIDENTE VARGAS,S/N,CENTRO,CENTRO,578,-22.90712,-43.19507
638,EM AZEVEDO SODRE,EM,RUA BARAO DE UBA,331,PRACA DA BANDEIRA,GRANDE TIJUCA,293,-22.91545,-43.21109
089,EM MARIO CLAUDIO,EM,RUA HADDOCK LOBO,148,RIO COMPRIDO,CENTRO,473,-22.91723,-43.21104
132,EM PEREIRA PASSOS,EM,PRACA CONDESSA PAULO DE FRONTIN,45,RIO COMPRIDO,CENTRO,67,-22.92441,-43.20858
387,CIEP PRESIDENTE AGOSTINHO NETO,CIEP,RUA VISCONDE DE SILVA,S/N,HUMAITA,ZONA SUL,456,-22.95917,-43.19972
268,EM MINAS GERAIS,EM,AVENIDA PASTEUR,433,URCA,ZONA SUL,308,-22.95382,-43.16888
025,EM GEORGE SUMMER,EM,RUA ANA NERI,S/N,RIACHUELO,ZONA NORTE,183,-22.9007,-43.25541
373,EM PROFESSOR AUGUSTO PAULINO,EM,RUA CONEGO TOBIAS,116,MEIER,ZONA NORTE,44,-22.90416,-43.28033
660,EM NOSSA SENHORA DA POMPEIA,EM,RUA CIRNE MAIA,109,TODOS OS SANTOS,ZONA NORTE,342,-22.89203,-43.27992
502,CIEP PATRICE LUMUMBA,CIEP,PRACA DA CONFEDERACAO SUICA,S/N,DEL CASTILHO,ZONA NORTE,493,-22.87836,-43.27489
135,EM DOMINGOS BEBIANO,EM,ESTRUA ADHEMAR BEBIANO,1870,INHAUMA,ZONA NORTE,456,-22.87389,-43.27771
440,EM JOAQUIM RIBEIRO,EM,PRACA SOLDADO COSME DOS SANTOS,28,INHAUMA,ZONA NORTE,530,-22.87757,-43.28563
217,EM ALAGOAS,EM,AVENIDA DOM HELDER CAMARA,6742,PILARES,ZONA NORTE,440,-22.88134,-43.29409
020,EM TAGORE,EM,PRACA FREDERICO DUVAL,S/N,PIEDADE,ZONA NORTE,255,-22.88766,-43.30247
429,EM FELIX PACHECO,EM,RUA ASSIS CARNEIRO,649,PIEDADE,ZONA NORTE,311,-22.89509,-43.31383
378,EM BRIGADEIRO FARIA LIMA,EM,RUA VIOLETA,S/N,AGUA SANTA,ZONA NORTE,365,-22.90627,-43.30792
624,EM RIO GRANDE DO SUL,EM,RUA ADOLFO BERGAMINI,201,ENGENHO DE DENTRO,ZONA NORTE,109,-22.90034,-43.29594
603,EM ESPIRITO SANTO,EM,RUA HERCULANO PENA,S/N,CAVALCANTI,ZONA NORTE,352,-22.8743,-43.31472
211,EM FRANCIS HIME,EM,ESTRADA PAU DA FOME,196,TAQUARA,JACAREPAGUA,520,-22.91883,-43.41625
477,EM PAULO MARANHAO,EM,RUA DO GOVERNO,866,REALENGO,GRANDE BANGU,187,-22.89299,-43.44122
641,EM LAURO MULLER,EM,RUA ROSA DE ALMEIDA,113,PADRE MIGUEL,GRANDE BANGU,269,-22.88207,-43.44644
689,EM MOACIR PADILHA,EM,RUA GENERAL GOMES DE CASTRO,30,PADRE MIGUEL,GRANDE BANGU,571,-22.86877,-43.45065
576,EM CORYNTHO DA FONSECA,EM,RUA URUQUE,S/N,REALENGO,GRANDE BANGU,148,-22.85894,-43.44387
080,EM  JOSE MAURO DE VASCONCELOS,EM,RUA MARLIERIA,S/N,BANGU,GRANDE BANGU,599,-22.85044,-43.46686
586,CIEP ANTONIO EVARISTO DE MORAES,CIEP,AVENIDA DE SANTA CRUZ,S/N,SENADOR CAMARA,GRANDE BANGU,194,-22.88179,-43.48733
175,EM  NACOES UNIDAS,EM,RUA DOS LIMADORES,S/N,BANGU,GRANDE BANGU,435,-22.88815,-43.47629
398,EM LEONARDO DA VINCI,EM,RUA RENATO REBECCHI,S/N,BANGU,GRANDE BANGU,315,-22.89253,-43.47295
144,EM ALFREDO CESARIO ALVIM,EM,RUA RIO DA PRATA RUA LUISA MARILAC,20,CAMPO GRANDE,ZONA OESTE,99,-22.92315,-43.51877
139,EM JESUS SOARES PEREIRA,EM,RUA CONSOLACAO,138,CAMPO GRANDE,ZONA OESTE,316,-22.91959,-43.54684
399,CIEP CLEMENTINA DE JESUS,CIEP,AVENIDA ALHAMBRA,S/N,CAMPO GRANDE,ZONA OESTE,71,-22.92529,-43.56665
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,CIEP,ESTRADA MORICABA,S/N,SENADOR VASCONCELOS,ZONA OESTE,591,-22.92529,-43.56665
052,EM PROFESSOR PAULO SILVA,EM,RUA JAIRO CORREA,S/N,INHOAIBA,ZONA OESTE,330,-22.90859,-43.58474
379,CIEP NELSON MANDELA,CIEP,PRACA DANIEL LAMES,S/N,CAMPO GRANDE,ZONA OESTE,109,-22.89558,-43.57051
616,CIEP PROFESSOR DARCI RIBEIRO,CIEP,RUA CONCHAS,S/N,CAMPO GRANDE,ZONA OESTE,372,-22.8873,-43.58736
342,EM FERNANDO COSTA,EM,RUA JOSE ALBANO,S/N,CAMPO GRANDE,ZONA OESTE,296,-22.89036,-43.59399
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLEGIO,RUA PEQUIA,97,COSMOS,ZONA OESTE,479,-22.91097,-43.61605
319,EM MARECHAL PEDRO CAVALCANTI,EM,RUA PORTO FIRME,S/N,PACIENCIA,ZONA OESTE,537,-22.92485,-43.63289
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,EM,AVENIDA CANAL 3 CONJUNTO CESARAO,S/N,SANTA CRUZ,ZONA OESTE,311,-22.93011,-43.6529
323,CIEP ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO,S/N,SANTA CRUZ,ZONA OESTE,106,-22.93416,-43.66213
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,EM,RUA EUDALDO GOMES DA SILVA CONJ URUCANIA,S/N,PACIENCIA,ZONA OESTE,579,-22.91403,-43.65344
311,EM PESTALOZZI,EM,RUA SEVERIANO DAS CHAGAS,S/N,SANTA CRUZ,ZONA OESTE,162,-22.91572,-43.67975
560,EM ANDRE VIDAL DE NEGREIROS,EM,RUA FELIPE CARDOSO,750,SANTA CRUZ,ZONA OESTE,308,-22.92139,-43.68058
246,EM FERNANDO AZEVEDO,EM,RUA DAS PALMEIRAS IMPERIAIS,S/N,SANTA CRUZ,ZONA OESTE,459,-22.92306,-43.69233
068,EM WALQUIR PEREIRA,EM,ESTRADA DE SEPETIBA BLOCO,1,NOVA SEPETIBA,ZONA OESTE,135,-22.95601,-43.68675
584,EM NELSON ROMERO,EM,RUA JOSE BALDINO,S/N,SEPETIBA,ZONA OESTE,342,-22.97174,-43.69735
289,EM BERTHA LUTZ,EM,ESTRADA DO PIAI,2075,GUARATIBA,ZONA OESTE,329,-22.97906,-43.67058
515,CIEP HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA,S/N,PEDRA DE GUARATIBA,ZONA OESTE,341,-22.97451,-43.64817
474,EM ENGENHEIRO GASTAO RANGEL,EM,ESTRADA DO MAGARCA,9183,GUARATIBA,ZONA OESTE,320,-22.98046,-43.64354
210,EM DEBORA MENDES DE MORAES,EM,RUA BELCHIOR DA FONSECA,643,PEDRA DE GUARATIBA,ZONA OESTE,570,-23.00142,-43.63876
606,EM PROFESSOR CASTILHO,EM,CAMINHO DA MATRIZ,4406,ILHA DE GUARATIBA,ZONA OESTE,521,-22.99412,-43.59368
301,EM JONATAS SERRANO,EM,ESTRADA DO MATO ALTO,S/N,GUARATIBA,ZONA OESTE,335,-22.95316,-43.57741
215,EM  NARCISA AMALIA,EM,ESTRADA TEODORETO DE CAMARGO,S/N,ILHA DE GUARATIBA,ZONA OESTE,311,-23.00908,-43.53758
202,EM  PROFESSOR TEOFILO MOREIRA DA COSTA,EM,RUA ESPERANCA,387,VARGEM GRANDE,BARRA DA TIJUCA,121,-22.98173,-43.49164
528,CIEP MARGARET MEE,CIEP,RUA MINISTRO ALIOMAR BALEEIRO,S/N,RECREIO,BARRA DA TIJUCA,51,-23.01981,-43.48172
690,EM FINLANDIA,EM,RUA IGARAPE-ACU,S/N,CAMORIM,BARRA DA TIJUCA,94,-22.97199,-43.41011
262,CIEP HERIVELTO MARTINS,CIEP,PRACA SANTO ANASTACIO,S/N,AUGUSTO VASCONCELOS,ZONA OESTE,221,-22.88649,-43.5288
534,EM CORA CORALINA,EM,RUA VOTORANTIM KM 10 MENDANHA,S/N,CAMPO GRANDE,ZONA OESTE,157,-22.85878,-43.53705
497,EM PROFESSORA LEILA MEHL MENEZES DE MATTOS,EM,AVENIDA MARIO PEREIRA DOS SANTOS,S/N,PACIENCIA,ZONA OESTE,517,-22.87319,-43.62773
573,CIEP MAJOR MANUEL GOMES ARCHER,CIEP,RUA CABO SAULO DE VASCONCELOS,S/N,PACIENCIA,ZONA OESTE,207,-22.88855,-43.63805
676,EM ANISIO TEIXEIRA,EM,RUA SERENATA,40,JARDIM GUANABARA,ILHAS,180,-22.81244,-43.20966
274,EM ABEILARD FEIJO,EM,ESTRADA DA CACUIA,1386,CACUIA,ILHAS,561,-22.80769,-43.18156
